Type,EventTime,Inventory,Title,Segment,StartType,Reconcile,SOM,Duration,ServerDuration,Status,LiveStatus,ScaleType,VerifyStatus,DateTime,ModeMain,ModeProtect,GUID,Category,TempMedia,PlayType,playlist
PRI,12:33:51:14,COMM1,GREEN NATURE,,HD,PMSL-0009,00:00:00:00,00:01:41:10,00:01:41:10,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,4e3bb91f-1168-4927-89d0-ec49d987476b,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
PRI,12:35:30:19,COMM2,GREEN NATURE,,HD,PMSL-0009,00:00:00:00,00:02:36:16,00:02:36:16,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,39044e2f-ace5-46ae-a00e-110e13e5563c,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
PRI,12:38:07:10,COMM3,COLORED SMOKE,,HD,PMSL-0010,00:00:00:00,00:02:19:08,00:02:19:08,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,fff3f0b4-803b-4887-a98e-163f84afe769,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
PRI,12:40:26:18,COMM1,CLORED WATER,,HD,yyyy,00:00:00:00,00:01:41:10,00:01:41:10,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,aedc9907-cad0-4607-905d-b9d4bf88b4ef,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
PRI,12:42:08:03,COMM1,CHOCOLATE BROWNIE,,HD,yyyy,00:00:00:00,00:01:41:10,00:01:41:10,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,0afbbe5a-5522-417b-9a87-fc0f000f33ef,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
PRI,12:43:49:13,COMM1,INDIA MAP,,HD,yyyy,00:00:00:00,00:01:41:10,00:01:41:10,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,52b3d213-bed8-4658-a2c0-1461b22d2739,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
PRI,12:45:30:23,COMM1,COLORED SMOKE,,HD,yyyy,00:00:00:00,00:01:41:10,00:01:41:10,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,dd7d098d-f989-4b73-a5a7-0237b6485538,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
PRI,12:47:12:08,COMM4,INDIA MAP,,HD,PMSL-0033,00:00:00:00,00:00:58:02,00:00:58:02,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,48e99b1a-fc8f-44d1-8eb7-89e8ebce6064,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
PRI,12:48:10:10,COMM5,CHOCOLATE BROWNIE,,HD,PMSL-0018,00:00:00:00,00:01:48:18,00:01:48:18,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,16537cab-51de-4013-b661-468ee5ca3c3c,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
PRI,12:49:59:03,COMM6,CLORED WATER,,HD,PMSL-0019,00:00:00:00,00:00:23:23,00:00:23:23,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,de781796-0e7d-484a-a863-a5cf0e719f76,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
PRI,12:50:23:01,COMM2,GREEN NATURE,,HD,PMSL-0009,00:00:00:00,00:02:36:16,00:02:36:16,O.K,,DEFAULT,.mp4,4/4/2019,PLAY1A,,28e45a72-3774-4266-8af8-f6e2ee86c365,,,0~1~2~3~4~5|0~0~0~0~0~0,MELTED_5.csv
